team_code,team_name,tournaments,group stage,round of 16,quarter-finals,semi-finals,third-place match,final,winner,chance_of_passing_round_of_16,first_in_group,second_in_group,participations
NGA,Nigeria,"{'WC-1994': {'matches': 4}, 'WC-1998': {'matches': 4}, 'WC-2002': {'matches': 3}, 'WC-2010': {'matches': 3}, 'WC-2014': {'matches': 4}, 'WC-2018': {'matches': 3}}",18,3,0,0,0,0,0,0,0,0,6
PRK,North Korea,"{'WC-1966': {'matches': 4}, 'WC-2010': {'matches': 3}}",6,0,1,0,0,0,0,0,0,0,2
NIR,Northern Ireland,"{'WC-1958': {'matches': 5}, 'WC-1982': {'matches': 5}, 'WC-1986': {'matches': 3}}",12,0,1,0,0,0,0,0,0,0,3
NOR,Norway,"{'WC-1938': {'matches': 1}, 'WC-1994': {'matches': 3}, 'WC-1998': {'matches': 4}}",6,2,0,0,0,0,0,0,0,0,3
PAN,Panama,{'WC-2018': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
PRY,Paraguay,"{'WC-1930': {'matches': 2}, 'WC-1950': {'matches': 2}, 'WC-1958': {'matches': 3}, 'WC-1986': {'matches': 4}, 'WC-1998': {'matches': 4}, 'WC-2002': {'matches': 4}, 'WC-2006': {'matches': 3}, 'WC-2010': {'matches': 5}}",22,4,1,0,0,0,0,0,0,0,8
PER,Peru,"{'WC-1930': {'matches': 2}, 'WC-1970': {'matches': 4}, 'WC-1978': {'matches': 6}, 'WC-1982': {'matches': 3}, 'WC-2018': {'matches': 3}}",17,0,1,0,0,0,0,0,0,0,5
POL,Poland,"{'WC-1938': {'matches': 1}, 'WC-1974': {'matches': 7}, 'WC-1978': {'matches': 6}, 'WC-1982': {'matches': 7}, 'WC-1986': {'matches': 4}, 'WC-2002': {'matches': 3}, 'WC-2006': {'matches': 3}, 'WC-2018': {'matches': 3}}",29,2,0,1,2,0,0,0.1,0,0,8
PRT,Portugal,"{'WC-1966': {'matches': 6}, 'WC-1986': {'matches': 3}, 'WC-2002': {'matches': 3}, 'WC-2006': {'matches': 7}, 'WC-2010': {'matches': 4}, 'WC-2014': {'matches': 3}, 'WC-2018': {'matches': 4}}",21,3,2,2,2,0,0,0.25,0,1,7
IRL,Republic of Ireland,"{'WC-1990': {'matches': 5}, 'WC-1994': {'matches': 4}, 'WC-2002': {'matches': 4}}",9,3,1,0,0,0,0,0,0,0,3
ROU,Romania,"{'WC-1930': {'matches': 2}, 'WC-1934': {'matches': 1}, 'WC-1938': {'matches': 2}, 'WC-1970': {'matches': 3}, 'WC-1990': {'matches': 4}, 'WC-1994': {'matches': 5}, 'WC-1998': {'matches': 4}}",14,6,1,0,0,0,0,0,0,0,7
RUS,Russia,"{'WC-1994': {'matches': 3}, 'WC-2002': {'matches': 3}, 'WC-2014': {'matches': 3}, 'WC-2018': {'matches': 5}}",12,1,1,0,0,0,0,0,0,0,4
SAU,Saudi Arabia,"{'WC-1994': {'matches': 4}, 'WC-1998': {'matches': 3}, 'WC-2002': {'matches': 3}, 'WC-2006': {'matches': 3}, 'WC-2018': {'matches': 3}}",15,1,0,0,0,0,0,0.05,0,0,5
SCO,Scotland,"{'WC-1954': {'matches': 2}, 'WC-1958': {'matches': 3}, 'WC-1974': {'matches': 3}, 'WC-1978': {'matches': 3}, 'WC-1982': {'matches': 3}, 'WC-1986': {'matches': 3}, 'WC-1990': {'matches': 3}, 'WC-1998': {'matches': 3}}",23,0,0,0,0,0,0,0,0,0,8
SEN,Senegal,"{'WC-2002': {'matches': 5}, 'WC-2018': {'matches': 3}}",6,1,1,0,0,0,0,0.1,0,1,2
SRB,Serbia,"{'WC-2010': {'matches': 3}, 'WC-2018': {'matches': 3}}",6,0,0,0,0,0,0,0.0,0,0,2
SCG,Serbia and Montenegro,{'WC-2006': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
SVK,Slovakia,{'WC-2010': {'matches': 4}},3,1,0,0,0,0,0,0,0,0,1
SVN,Slovenia,"{'WC-2002': {'matches': 3}, 'WC-2010': {'matches': 3}}",6,0,0,0,0,0,0,0,0,0,2
ZAF,South Africa,"{'WC-1998': {'matches': 3}, 'WC-2002': {'matches': 3}, 'WC-2010': {'matches': 3}}",9,0,0,0,0,0,0,0,0,0,3
KOR,South Korea,"{'WC-1954': {'matches': 2}, 'WC-1986': {'matches': 3}, 'WC-1990': {'matches': 3}, 'WC-1994': {'matches': 3}, 'WC-1998': {'matches': 3}, 'WC-2002': {'matches': 7}, 'WC-2006': {'matches': 3}, 'WC-2010': {'matches': 4}, 'WC-2014': {'matches': 3}, 'WC-2018': {'matches': 3}}",29,2,1,1,1,0,0,0.16666666666666666,0,0,10
SUN,Soviet Union,"{'WC-1958': {'matches': 5}, 'WC-1962': {'matches': 4}, 'WC-1966': {'matches': 6}, 'WC-1970': {'matches': 4}, 'WC-1982': {'matches': 5}, 'WC-1986': {'matches': 4}, 'WC-1990': {'matches': 3}}",24,1,4,1,1,0,0,0,0,0,7
ESP,Spain,"{'WC-1934': {'matches': 3}, 'WC-1950': {'matches': 6}, 'WC-1962': {'matches': 3}, 'WC-1966': {'matches': 3}, 'WC-1978': {'matches': 3}, 'WC-1982': {'matches': 5}, 'WC-1986': {'matches': 5}, 'WC-1990': {'matches': 4}, 'WC-1994': {'matches': 5}, 'WC-1998': {'matches': 3}, 'WC-2002': {'matches': 5}, 'WC-2006': {'matches': 4}, 'WC-2010': {'matches': 7}, 'WC-2014': {'matches': 3}, 'WC-2018': {'matches': 4}}",44,8,6,1,0,4,2,0.3333333333333333,0,1,15
SWE,Sweden,"{'WC-1934': {'matches': 2}, 'WC-1938': {'matches': 3}, 'WC-1950': {'matches': 5}, 'WC-1958': {'matches': 6}, 'WC-1970': {'matches': 3}, 'WC-1974': {'matches': 6}, 'WC-1978': {'matches': 3}, 'WC-1990': {'matches': 3}, 'WC-1994': {'matches': 7}, 'WC-2002': {'matches': 4}, 'WC-2006': {'matches': 4}, 'WC-2018': {'matches': 5}}",32,5,5,3,2,4,1,0,0,0,12
CHE,Switzerland,"{'WC-1934': {'matches': 2}, 'WC-1938': {'matches': 3}, 'WC-1950': {'matches': 3}, 'WC-1954': {'matches': 4}, 'WC-1962': {'matches': 3}, 'WC-1966': {'matches': 3}, 'WC-1994': {'matches': 4}, 'WC-2006': {'matches': 4}, 'WC-2010': {'matches': 3}, 'WC-2014': {'matches': 4}, 'WC-2018': {'matches': 4}}",27,7,3,0,0,0,0,0.3684210526315789,0,1,11
TGO,Togo,{'WC-2006': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
TTO,Trinidad and Tobago,{'WC-2006': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
TUN,Tunisia,"{'WC-1978': {'matches': 3}, 'WC-1998': {'matches': 3}, 'WC-2002': {'matches': 3}, 'WC-2006': {'matches': 3}, 'WC-2018': {'matches': 3}}",15,0,0,0,0,0,0,0.0,0,0,5
TUR,Turkey,"{'WC-1954': {'matches': 3}, 'WC-2002': {'matches': 7}}",6,1,1,1,1,0,0,0,0,0,2
UKR,Ukraine,{'WC-2006': {'matches': 5}},3,1,1,0,0,0,0,0,0,0,1
ARE,United Arab Emirates,{'WC-1990': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
USA,United States,"{'WC-1930': {'matches': 3}, 'WC-1934': {'matches': 1}, 'WC-1950': {'matches': 3}, 'WC-1990': {'matches': 3}, 'WC-1994': {'matches': 4}, 'WC-1998': {'matches': 3}, 'WC-2002': {'matches': 5}, 'WC-2006': {'matches': 3}, 'WC-2010': {'matches': 4}, 'WC-2014': {'matches': 4}}",26,5,1,1,0,0,0,0.4166666666666667,0,1,10
URY,Uruguay,"{'WC-1930': {'matches': 4}, 'WC-1950': {'matches': 4}, 'WC-1954': {'matches': 5}, 'WC-1962': {'matches': 3}, 'WC-1966': {'matches': 4}, 'WC-1970': {'matches': 6}, 'WC-1974': {'matches': 3}, 'WC-1986': {'matches': 4}, 'WC-1990': {'matches': 4}, 'WC-2002': {'matches': 3}, 'WC-2010': {'matches': 7}, 'WC-2014': {'matches': 4}, 'WC-2018': {'matches': 5}}",35,5,5,4,3,4,3,0.4166666666666667,1,0,13
WAL,Wales,{'WC-1958': {'matches': 5}},4,0,1,0,0,0,0,0.0,0,0,1
YUG,Yugoslavia,"{'WC-1930': {'matches': 3}, 'WC-1950': {'matches': 3}, 'WC-1954': {'matches': 3}, 'WC-1958': {'matches': 4}, 'WC-1962': {'matches': 6}, 'WC-1974': {'matches': 6}, 'WC-1982': {'matches': 3}, 'WC-1990': {'matches': 5}, 'WC-1998': {'matches': 4}}",28,2,4,2,1,0,0,0,0,0,9
COD,Zaire,{'WC-1974': {'matches': 3}},3,0,0,0,0,0,0,0,0,0,1
QAT,Qatar,{},0,0,0,0,0,0,0,0,0.0,0,0
